SN-vs-root consistency audit
========================================================================
Database:      /home/claude/paleo-studio/surface-index.db
Strongs-roots: server/lexicon/strongs-roots.json

Totals
------
Rows scanned:                              23,737
Rows where tagged SN's root letters are
  NOT all present in the surface form:     5,753
Of those, with a plausible alternative:    5,701
  - found in all_strongs (co-attested):    445
  - found via broad search only:           5,256

HIGH confidence (413)
------------------------------------------------------------------------
Exactly one alternative SN co-attested for this surface in the corpus.
Safest candidates for the override file.

  word_raw        tagged    tagged_root       suggested  suggested_root  pos
  𐤀𐤂𐤓𐤄        H104      𐤀𐤂𐤓𐤀        H103      𐤀𐤂𐤓          subs
  𐤀𐤄𐤁𐤕𐤊      H160      𐤀𐤄𐤁𐤄        H157      𐤀𐤄𐤁          subs
  𐤀𐤅𐤊𐤋        H3201     𐤉𐤊𐤋          H398      𐤀𐤊𐤋          verb
  𐤀𐤅𐤋𐤊        H1980     𐤄𐤋𐤊          H3808     𐤋𐤀            verb
  𐤀𐤇𐤆𐤕        H272      𐤀𐤇𐤆𐤄        H270      𐤀𐤇𐤆          subs
  𐤀𐤇𐤕𐤌        H269      𐤀𐤇𐤅𐤕        H2856     𐤇𐤕𐤌          subs
  𐤀𐤉𐤍𐤌𐤅      H1993     𐤀𐤉𐤍𐤌𐤅      H369      𐤀𐤉𐤍          subs
  𐤀𐤊𐤐          H3721     𐤊𐤐𐤐          H404      𐤀𐤊𐤐          verb
  𐤀𐤋𐤊          H1980     𐤄𐤋𐤊          H413      𐤀𐤋            verb
  𐤀𐤋𐤌          H197      𐤀𐤅𐤋𐤌        H482      𐤀𐤋𐤌          subs
  𐤀𐤋𐤌𐤃𐤄      H136      𐤀𐤃𐤍𐤉        H3925     𐤋𐤌𐤃          verb
  𐤀𐤋𐤌𐤍𐤅𐤕    H490      𐤀𐤋𐤌𐤍𐤄      H491      𐤀𐤋𐤌𐤍𐤅𐤕    subs
  𐤀𐤌𐤅𐤕        H520      𐤀𐤌𐤄          H4191     𐤌𐤅𐤕          subs
  𐤀𐤌𐤍𐤉𐤌      H529      𐤀𐤌𐤅𐤍        H539      𐤀𐤌𐤍          adjv
  𐤀𐤌𐤍𐤕𐤅      H530      𐤀𐤌𐤅𐤍𐤄      H539      𐤀𐤌𐤍          subs
  𐤀𐤌𐤓𐤅𐤕      H8104     𐤔𐤌𐤓          H559      𐤀𐤌𐤓          subs
  𐤀𐤌𐤕𐤅        H519      𐤀𐤌𐤄          H571      𐤀𐤌𐤕          subs
  𐤀𐤌𐤕𐤊        H519      𐤀𐤌𐤄          H571      𐤀𐤌𐤕          subs
  𐤀𐤎𐤐𐤓        H2505     𐤇𐤋𐤒          H5608     𐤎𐤐𐤓          verb
  𐤀𐤎𐤓𐤌        H3256     𐤉𐤎𐤓          H631      𐤀𐤎𐤓          verb
  𐤀𐤏𐤌𐤉𐤃      H1961     𐤏𐤌𐤉𐤃        H5975     𐤏𐤌𐤃          verb
  𐤀𐤐𐤃𐤕        H642      𐤀𐤐𐤃𐤄        H640      𐤀𐤐𐤃          subs
  𐤀𐤐𐤐𐤅𐤍𐤉    H2256     𐤇𐤁𐤋          H661      𐤀𐤐𐤐          verb
  𐤀𐤑𐤌𐤉𐤕𐤌    H3808     𐤑𐤌𐤉𐤕        H6789     𐤑𐤌𐤕          verb
  𐤀𐤓𐤁𐤅        H5971     𐤀𐤓𐤁          H693      𐤀𐤓𐤁          subs
  𐤀𐤓𐤅𐤊𐤄      H3932     𐤀𐤓𐤅𐤊        H724      𐤀𐤓𐤅𐤊𐤄      subs
  𐤀𐤓𐤇𐤉𐤒      H4655     𐤌𐤐𐤋𐤈        H7368     𐤓𐤇𐤒          verb
  𐤀𐤓𐤇𐤕𐤅      H737      𐤀𐤓𐤇𐤄        H734      𐤀𐤓𐤇          subs
  𐤀𐤓𐤓𐤉        H2043     𐤄𐤓𐤓𐤉        H779      𐤀𐤓𐤓          adjv
  𐤀𐤓𐤔𐤄        H1931     𐤄𐤅𐤀          H781      𐤀𐤓𐤔          verb
  𐤀𐤔𐤇𐤒𐤌      H4480     𐤔𐤇𐤒          H7833     𐤔𐤇𐤒          verb
  𐤀𐤔𐤇𐤓𐤊      H6944     𐤒𐤃𐤔          H7836     𐤔𐤇𐤓          verb
  𐤀𐤔𐤌𐤕        H819      𐤀𐤔𐤌𐤄        H816      𐤀𐤔𐤌          subs
  𐤀𐤔𐤓𐤉𐤍𐤅    H3680     𐤊𐤎𐤄          H838      𐤀𐤔𐤓          subs
  𐤀𐤔𐤕𐤅𐤌𐤌    H3825     𐤀𐤔𐤕𐤅𐤌𐤌    H8074     𐤔𐤌𐤌          verb
  𐤁𐤃𐤊𐤌        H3117     𐤉𐤅𐤌          H905      𐤁𐤃            subs
  𐤁𐤄𐤌𐤅𐤕      H929      𐤁𐤄𐤌𐤄        H930      𐤁𐤄𐤌𐤅𐤕      subs
  𐤁𐤆𐤅          H4003     𐤌𐤁𐤅𐤒𐤄      H936      𐤁𐤅𐤆          verb
  𐤁𐤇𐤍𐤕𐤉𐤌    H853      𐤁𐤇𐤍          H974      𐤁𐤇𐤍          verb
  𐤁𐤉𐤍𐤕𐤉      H998      𐤁𐤉𐤍𐤄        H995      𐤁𐤉𐤍          subs
  𐤁𐤊𐤓𐤄        H1062     𐤁𐤊𐤅𐤓𐤄      H1072     𐤁𐤊𐤓𐤄        subs
  𐤁𐤏𐤋𐤕        H1172     𐤁𐤏𐤋𐤄        H1166     𐤁𐤏𐤋          subs
  𐤁𐤒𐤏𐤕        H1237     𐤁𐤒𐤏𐤄        H1234     𐤁𐤒𐤏          subs
  𐤁𐤒𐤔𐤕𐤉      H1246     𐤁𐤒𐤔𐤄        H1245     𐤁𐤒𐤔          subs
  𐤁𐤓𐤊𐤕        H1293     𐤁𐤓𐤊𐤄        H1288     𐤁𐤓𐤊          subs
  𐤁𐤓𐤊𐤕𐤉      H1293     𐤁𐤓𐤊𐤄        H1288     𐤁𐤓𐤊          subs
  𐤁𐤔𐤍𐤅        H5869     𐤏𐤉𐤍          H954      𐤁𐤅𐤔          verb
  𐤁𐤔𐤓𐤄        H1309     𐤁𐤔𐤅𐤓𐤄      H1320     𐤁𐤔𐤓          subs
  𐤂𐤀𐤋𐤕𐤉      H1353     𐤂𐤀𐤋𐤄        H1350     𐤂𐤀𐤋          subs
  𐤂𐤁𐤋𐤕        H1367     𐤂𐤁𐤅𐤋𐤄      H1383     𐤂𐤁𐤋𐤕        subs
  𐤂𐤁𐤓𐤉        H1368     𐤂𐤁𐤅𐤓        H1401     𐤂𐤁𐤓          subs
  𐤂𐤁𐤓𐤉𐤌      H1368     𐤂𐤁𐤅𐤓        H1397     𐤂𐤁𐤓          subs
  𐤂𐤃𐤋𐤄        H1419     𐤂𐤃𐤅𐤋        H1431     𐤂𐤃𐤋          adjv
  𐤂𐤃𐤋𐤉𐤌      H1419     𐤂𐤃𐤅𐤋        H1434     𐤂𐤃𐤋          adjv
  𐤂𐤃𐤋𐤕        H1419     𐤂𐤃𐤅𐤋        H1431     𐤂𐤃𐤋          adjv
  𐤂𐤃𐤋𐤕𐤅      H1420     𐤂𐤃𐤅𐤋𐤄      H1431     𐤂𐤃𐤋          subs
  𐤂𐤃𐤓𐤉𐤌      H1004     𐤁𐤉𐤕          H1443     𐤂𐤃𐤓          verb
