word	chosen_tier	also_fits	alternative_split
𐤕𐤅𐤋𐤃𐤕	exact	plene	𐤕𐤅𐤋𐤃𐤅𐤕
𐤄𐤌𐤔𐤉𐤇	exact	proclitic	𐤄 + 𐤌𐤔𐤉𐤇
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤉𐤑𐤇𐤒	adjacent	particle	𐤀𐤕 + 𐤉𐤑𐤇𐤒
𐤅𐤉𐤑𐤇𐤒	exact	proclitic	𐤅 + 𐤉𐤑𐤇𐤒
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤉𐤏𐤒𐤁	adjacent	particle	𐤀𐤕 + 𐤉𐤏𐤒𐤁
𐤅𐤉𐤏𐤒𐤁	exact	plene	𐤏𐤒𐤁
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤉𐤄𐤅𐤃𐤄	adjacent	particle	𐤀𐤕 + 𐤉𐤄𐤅𐤃𐤄
𐤅𐤉𐤄𐤅𐤃𐤄	exact	plene	𐤉𐤄𐤅𐤃𐤄
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤐𐤓𐤑	adjacent	particle	𐤀𐤕 + 𐤐𐤓𐤑
𐤅𐤀𐤕	exact	proclitic	𐤅 + 𐤀𐤕
𐤆𐤓𐤇	exact	plene	𐤅𐤉𐤆𐤓𐤇
𐤌𐤕𐤌𐤓	exact	proclitic	𐤌 + 𐤕𐤌𐤓
𐤅𐤐𐤓𐤑	exact	plene	𐤅𐤉𐤐𐤓𐤑
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤇𐤑𐤓𐤅𐤍	adjacent	particle	𐤀𐤕 + 𐤇𐤑𐤓𐤅𐤍
𐤅𐤇𐤑𐤓𐤅𐤍	exact	proclitic	𐤅 + 𐤇𐤑𐤓𐤅𐤍
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
𐤀𐤕𐤓𐤌	adjacent	particle	𐤀𐤕 + 𐤓𐤌
𐤅𐤓𐤌	exact	proclitic	𐤅 + 𐤓𐤌
𐤄𐤅𐤋𐤉𐤃	exact	plene	𐤄𐤅𐤋𐤉𐤃𐤅
