word	chosen_tier	chosen_attested	also_fits	alternative_split	alt_stem	alt_stem_attested	suspicion
𐤅𐤁𐤊𐤉	exact	1	proclitic	𐤅 + 𐤁 + 𐤊𐤉	𐤊𐤉	4369	4369.0
𐤄𐤋𐤊𐤉	exact	1	proclitic	𐤄 + 𐤋 + 𐤊𐤉	𐤊𐤉	4369	4369.0
𐤄𐤔𐤀𐤋	plene	1	proclitic	𐤄 + 𐤔 + 𐤀𐤋	𐤀𐤋	4364	4364.0
𐤌𐤔𐤀𐤋	exact	1	proclitic	𐤌 + 𐤔 + 𐤀𐤋	𐤀𐤋	4364	4364.0
𐤀𐤕𐤀𐤋	plene	1	particle	𐤀𐤕 + 𐤀𐤋	𐤀𐤋	4364	4364.0
𐤅𐤄𐤊𐤋	exact	1	proclitic	𐤅 + 𐤄 + 𐤊𐤋	𐤊𐤋	3140	3140.0
𐤌𐤔𐤊𐤋	exact	1	proclitic	𐤌 + 𐤔 + 𐤊𐤋	𐤊𐤋	3140	3140.0
𐤌𐤔𐤊𐤉	exact	2	proclitic	𐤌 + 𐤔 + 𐤊𐤉	𐤊𐤉	4369	2184.5
𐤁𐤌𐤋𐤀	adjacent	2	proclitic	𐤁 + 𐤌 + 𐤋𐤀	𐤋𐤀	3316	1658.0
𐤔𐤅𐤁𐤍	plene	1	proclitic	𐤔 + 𐤅 + 𐤁𐤍	𐤁𐤍	1634	1634.0
𐤊𐤁𐤍	plene	1	proclitic	𐤊 + 𐤁𐤍	𐤁𐤍	1634	1634.0
𐤊𐤋𐤊𐤋	exact	2	proclitic	𐤊 + 𐤋 + 𐤊𐤋	𐤊𐤋	3140	1570.0
𐤅𐤔𐤀𐤋	exact	3	proclitic	𐤅 + 𐤔 + 𐤀𐤋	𐤀𐤋	4364	1454.7
𐤋𐤊𐤋𐤀	exact	3	proclitic	𐤋 + 𐤊 + 𐤋𐤀	𐤋𐤀	3316	1105.3
𐤅𐤋𐤏𐤃	exact	1	proclitic	𐤅 + 𐤋 + 𐤏𐤃	𐤏𐤃	1095	1095.0
𐤄𐤌𐤏𐤃	exact	1	proclitic	𐤄 + 𐤌 + 𐤏𐤃	𐤏𐤃	1095	1095.0
𐤔𐤄𐤅𐤀	exact	1	proclitic	𐤔 + 𐤄𐤅𐤀	𐤄𐤅𐤀	1011	1011.0
𐤋𐤊𐤋𐤊	adjacent	1	proclitic	𐤋 + 𐤊 + 𐤋𐤊	𐤋𐤊	961	961.0
𐤌𐤔𐤋𐤊	exact	1	proclitic	𐤌 + 𐤔 + 𐤋𐤊	𐤋𐤊	961	961.0
𐤊𐤄𐤋𐤊	plene	1	proclitic	𐤊 + 𐤄 + 𐤋𐤊	𐤋𐤊	961	961.0
𐤄𐤊𐤉	exact	5	proclitic	𐤄 + 𐤊𐤉	𐤊𐤉	4369	873.8
𐤔𐤀𐤌𐤓	plene	1	proclitic	𐤔 + 𐤀𐤌𐤓	𐤀𐤌𐤓	830	830.0
𐤊𐤌𐤀𐤌𐤓	exact	1	proclitic	𐤊 + 𐤌 + 𐤀𐤌𐤓	𐤀𐤌𐤓	830	830.0
𐤄𐤊𐤋𐤀	exact	4	proclitic	𐤄 + 𐤊 + 𐤋𐤀	𐤋𐤀	3316	829.0
𐤔𐤋𐤀	exact	4	proclitic	𐤔 + 𐤋𐤀	𐤋𐤀	3316	829.0
𐤋𐤅𐤋𐤀	exact	4	proclitic	𐤋 + 𐤅 + 𐤋𐤀	𐤋𐤀	3316	829.0
𐤄𐤁𐤀𐤕	exact	9	proclitic	𐤄 + 𐤁 + 𐤀𐤕	𐤀𐤕	7362	818.0
𐤅𐤄𐤁𐤍	exact	2	proclitic	𐤅 + 𐤄 + 𐤁𐤍	𐤁𐤍	1634	817.0
