strongs	class	lemma	root_paleo	surface	count
H6	related	𐤀𐤁𐤃	𐤁𐤉𐤃𐤄	𐤀𐤁𐤉𐤃𐤄	
H5027	related	𐤍𐤁𐤈	𐤁𐤉𐤈	𐤀𐤁𐤉𐤈	
H5027	related	𐤍𐤁𐤈	𐤁𐤉𐤈𐤄	𐤀𐤁𐤉𐤈𐤄	
H5042	related	𐤍𐤁𐤏	𐤁𐤉𐤏𐤄	𐤀𐤁𐤉𐤏𐤄	
H1351	related	𐤂𐤀𐤋	𐤀𐤂𐤀𐤋𐤕𐤉	𐤀𐤂𐤀𐤋𐤕𐤉	
H5062	related	𐤍𐤂𐤐	𐤂𐤅𐤐	𐤀𐤂𐤅𐤐	
H5046	related	𐤍𐤂𐤃	𐤂𐤉𐤃	𐤀𐤂𐤉𐤃	
H5046	related	𐤍𐤂𐤃	𐤂𐤉𐤃	𐤀𐤂𐤉𐤃	
H5046	related	𐤍𐤂𐤃	𐤂𐤉𐤃	𐤀𐤂𐤉𐤃	
H5046	related	𐤍𐤂𐤃	𐤂𐤉𐤃𐤄	𐤀𐤂𐤉𐤃𐤄	
H5046	related	𐤍𐤂𐤃	𐤂𐤉𐤃𐤄	𐤀𐤂𐤉𐤃𐤄	
H2899	related	𐤈𐤅𐤁𐤀𐤃𐤍𐤉𐤄𐤅	𐤀𐤃𐤅𐤍𐤉𐤄	𐤀𐤃𐤅𐤍𐤉𐤄	
H5080	related	𐤍𐤃𐤇	𐤃𐤉𐤇	𐤀𐤃𐤉𐤇	
H3045	related	𐤉𐤃𐤏	𐤃𐤏𐤄	𐤀𐤃𐤏𐤄	
H3045	related	𐤉𐤃𐤏	𐤃𐤏𐤄	𐤀𐤃𐤏𐤄	
H1875	related	𐤃𐤓𐤔	𐤀𐤃𐤓𐤔	𐤀𐤃𐤓𐤔	
H3034	unrelated	𐤉𐤃𐤄	𐤅𐤃	𐤀𐤄𐤅𐤃	
H3046	related	𐤉𐤃𐤏	𐤅𐤃𐤏𐤍	𐤀𐤄𐤅𐤃𐤏𐤍	
H1949	related	𐤄𐤅𐤌	𐤉𐤌𐤄	𐤀𐤄𐤉𐤌𐤄	
H2986	related	𐤉𐤁𐤋	𐤅𐤁𐤉𐤋	𐤀𐤅𐤁𐤉𐤋	
H3001	related	𐤉𐤁𐤔	𐤅𐤁𐤉𐤔	𐤀𐤅𐤁𐤉𐤔	
H2986	weak-initial	𐤉𐤁𐤋	𐤅𐤁𐤋	𐤀𐤅𐤁𐤋	
H3034	unrelated	𐤉𐤃𐤄	𐤅𐤃	𐤀𐤅𐤃	
H3034	unrelated	𐤉𐤃𐤄	𐤅𐤃	𐤀𐤅𐤃	
H3034	weak-initial	𐤉𐤃𐤄	𐤅𐤃𐤄	𐤀𐤅𐤃𐤄	
H3045	related	𐤉𐤃𐤏	𐤅𐤃𐤉𐤏𐤄	𐤀𐤅𐤃𐤉𐤏𐤄	
H3176	related	𐤉𐤇𐤋	𐤅𐤇𐤉𐤋	𐤀𐤅𐤇𐤉𐤋	
H3176	related	𐤉𐤇𐤋	𐤅𐤇𐤉𐤋𐤄	𐤀𐤅𐤇𐤉𐤋𐤄	
H3198	related	𐤉𐤊𐤇	𐤅𐤊𐤉𐤇	𐤀𐤅𐤊𐤉𐤇	
H3198	related	𐤉𐤊𐤇	𐤅𐤊𐤉𐤇	𐤀𐤅𐤊𐤉𐤇	
H398	related	𐤀𐤊𐤋	𐤅𐤊𐤉𐤋	𐤀𐤅𐤊𐤉𐤋	
H3201	weak-initial	𐤉𐤊𐤋	𐤅𐤊𐤋	𐤀𐤅𐤊𐤋	
H398	related	𐤀𐤊𐤋	𐤅𐤊𐤋	𐤀𐤅𐤊𐤋	
H3212	related	𐤉𐤋𐤊	𐤅𐤋𐤉𐤊	𐤀𐤅𐤋𐤉𐤊	
H3212	related	𐤉𐤋𐤊	𐤅𐤋𐤉𐤊	𐤀𐤅𐤋𐤉𐤊	
H3212	related	𐤉𐤋𐤊	𐤅𐤋𐤉𐤊𐤄	𐤀𐤅𐤋𐤉𐤊𐤄	
H3212	weak-initial	𐤉𐤋𐤊	𐤅𐤋𐤊	𐤀𐤅𐤋𐤊	
H559	related	𐤀𐤌𐤓	𐤅𐤌𐤓	𐤀𐤅𐤌𐤓	
H559	related	𐤀𐤌𐤓	𐤅𐤌𐤓𐤄	𐤀𐤅𐤌𐤓𐤄	
H3254	related	𐤉𐤎𐤐	𐤅𐤎𐤉𐤐	𐤀𐤅𐤎𐤉𐤐	
H3256	weak-initial	𐤉𐤎𐤓	𐤅𐤎𐤓	𐤀𐤅𐤎𐤓	
H3259	weak-initial	𐤉𐤏𐤃	𐤅𐤏𐤃	𐤀𐤅𐤏𐤃	
H3318	related	𐤉𐤑𐤀	𐤅𐤑𐤉𐤀𐤄	𐤀𐤅𐤑𐤉𐤀𐤄	
H686	related	𐤀𐤑𐤓	𐤅𐤑𐤓	𐤀𐤅𐤑𐤓	
H3365	related	𐤉𐤒𐤓	𐤅𐤒𐤉𐤓	𐤀𐤅𐤒𐤉𐤓	
H3384	unrelated	𐤉𐤓𐤄	𐤅𐤓	𐤀𐤅𐤓	
H3384	weak-initial	𐤉𐤓𐤄	𐤅𐤓𐤄	𐤀𐤅𐤓𐤄	
H3427	related	𐤉𐤔𐤁	𐤅𐤔𐤉𐤁	𐤀𐤅𐤔𐤉𐤁	
H3467	related	𐤉𐤔𐤏	𐤅𐤔𐤉𐤏	𐤀𐤅𐤔𐤉𐤏	
H3467	related	𐤉𐤔𐤏	𐤅𐤔𐤉𐤏	𐤀𐤅𐤔𐤉𐤏	
H3467	related	𐤉𐤔𐤏	𐤅𐤔𐤉𐤏	𐤀𐤅𐤔𐤉𐤏	
H3467	related	𐤉𐤔𐤏	𐤅𐤔𐤉𐤏	𐤀𐤅𐤔𐤉𐤏	
H3467	related	𐤉𐤔𐤏	𐤅𐤔𐤏𐤄	𐤀𐤅𐤔𐤏𐤄	
H3474	weak-initial	𐤉𐤔𐤓	𐤅𐤔𐤓	𐤀𐤅𐤔𐤓	
H3498	related	𐤉𐤕𐤓	𐤅𐤕𐤉𐤓	𐤀𐤅𐤕𐤉𐤓	
H3498	weak-initial	𐤉𐤕𐤓	𐤅𐤕𐤓	𐤀𐤅𐤕𐤓	
H238	related	𐤀𐤆𐤍	𐤆𐤉𐤍	𐤀𐤆𐤉𐤍	
H270	related	𐤀𐤇𐤆	𐤇𐤆𐤄	𐤀𐤇𐤆𐤄	
H3176	related	𐤉𐤇𐤋	𐤇𐤉𐤋𐤄	𐤀𐤇𐤉𐤋𐤄	
H5182	related	𐤍𐤇𐤕	𐤀𐤇𐤕	𐤀𐤇𐤕	
H5201	related	𐤍𐤈𐤓	𐤈𐤅𐤓	𐤀𐤈𐤅𐤓	
H879	related	𐤁𐤀𐤓𐤀𐤋𐤉𐤌	𐤀𐤉𐤋𐤉𐤌	𐤀𐤉𐤋𐤉𐤌	
H1145	unrelated	𐤁𐤍𐤉𐤌𐤉𐤍𐤉	𐤀𐤉𐤔	𐤀𐤉𐤔	
H3448	related	𐤉𐤔𐤉	𐤀𐤉𐤔𐤉	𐤀𐤉𐤔𐤉	
H8552	related	𐤕𐤌𐤌	𐤉𐤕𐤌	𐤀𐤉𐤕𐤌	
H5234	related	𐤍𐤊𐤓	𐤊𐤉𐤓	𐤀𐤊𐤉𐤓	
H5234	related	𐤍𐤊𐤓	𐤊𐤉𐤓	𐤀𐤊𐤉𐤓	
H398	related	𐤀𐤊𐤋	𐤊𐤋𐤄	𐤀𐤊𐤋𐤄	
H3808	related	𐤋𐤀	𐤀𐤋	𐤀𐤋	
H3212	related	𐤉𐤋𐤊	𐤋𐤊𐤄	𐤀𐤋𐤊𐤄	
H3212	related	𐤉𐤋𐤊	𐤋𐤊𐤄	𐤀𐤋𐤊𐤄	
H559	related	𐤀𐤌𐤓	𐤌𐤓𐤄	𐤀𐤌𐤓𐤄	
H3046	related	𐤉𐤃𐤏	𐤍𐤃𐤏	𐤀𐤍𐤃𐤏	
H3240	related	𐤉𐤍𐤇	𐤍𐤉𐤇	𐤀𐤍𐤉𐤇	
H5337	related	𐤍𐤑𐤋	𐤑𐤋𐤄	𐤀𐤍𐤑𐤋𐤄	
H5358	related	𐤍𐤒𐤌	𐤒𐤌𐤄	𐤀𐤍𐤒𐤌𐤄	
H5358	related	𐤍𐤒𐤌	𐤒𐤌𐤄	𐤀𐤍𐤒𐤌𐤄	
H5258	related	𐤍𐤎𐤊	𐤎𐤉𐤊	𐤀𐤎𐤉𐤊	
H3254	related	𐤉𐤎𐤐	𐤎𐤉𐤐	𐤀𐤎𐤉𐤐	
H3254	related	𐤉𐤎𐤐	𐤎𐤐𐤄	𐤀𐤎𐤐𐤄	
H622	related	𐤀𐤎𐤐	𐤎𐤐𐤄	𐤀𐤎𐤐𐤄	
H3276	related	𐤉𐤏𐤋	𐤏𐤉𐤋	𐤀𐤏𐤉𐤋	
H5307	related	𐤍𐤐𐤋	𐤐𐤉𐤋	𐤀𐤐𐤉𐤋	
H5307	related	𐤍𐤐𐤋	𐤐𐤋𐤄	𐤀𐤐𐤋𐤄	
