strongs	class	lemma	root_paleo	surface	count
H1125	sn-mismatch	𐤁𐤍𐤀𐤁𐤉𐤍𐤃𐤁	𐤀𐤁𐤉𐤍𐤃𐤁	𐤀𐤁𐤉𐤍𐤃𐤁	
H5654	sn-mismatch	𐤏𐤁𐤃𐤀𐤃𐤅𐤌	𐤀𐤃𐤅𐤌	𐤀𐤃𐤅𐤌	
H2899	sn-mismatch	𐤈𐤅𐤁𐤀𐤃𐤍𐤉𐤄𐤅	𐤀𐤃𐤅𐤍𐤉𐤄	𐤀𐤃𐤅𐤍𐤉𐤄	
H5654	sn-mismatch	𐤏𐤁𐤃𐤀𐤃𐤅𐤌	𐤀𐤃𐤌	𐤀𐤃𐤌	
H5018	sn-mismatch	𐤍𐤁𐤅𐤆𐤓𐤀𐤃𐤍	𐤀𐤃𐤍	𐤀𐤃𐤍	
H2692	sn-mismatch	𐤇𐤑𐤓𐤀𐤃𐤓	𐤀𐤃𐤓	𐤀𐤃𐤓	
H5853	sn-mismatch	𐤏𐤈𐤓𐤅𐤕𐤀𐤃𐤓	𐤀𐤃𐤓	𐤀𐤃𐤓	
H1007	sn-mismatch	𐤁𐤉𐤕𐤀𐤅𐤍	𐤀𐤅𐤍	𐤀𐤅𐤍	
H1126	sn-mismatch	𐤁𐤍𐤀𐤅𐤍𐤉	𐤀𐤅𐤍𐤉	𐤀𐤅𐤍𐤉	
H879	sn-mismatch	𐤁𐤀𐤓𐤀𐤋𐤉𐤌	𐤀𐤉𐤋𐤉𐤌	𐤀𐤉𐤋𐤉𐤌	
H1145	sn-mismatch	𐤁𐤍𐤉𐤌𐤉𐤍𐤉	𐤀𐤉𐤔	𐤀𐤉𐤔	
H1008	sn-mismatch	𐤁𐤉𐤕𐤀𐤋	𐤀𐤋	𐤀𐤋	
H3317	sn-mismatch	𐤉𐤐𐤕𐤇𐤀𐤋	𐤀𐤋	𐤀𐤋	
H4027	sn-mismatch	𐤌𐤂𐤃𐤋𐤀𐤋	𐤀𐤋	𐤀𐤋	
H6005	sn-mismatch	𐤏𐤌𐤍𐤅𐤀𐤋	𐤀𐤋	𐤀𐤋	
H6214	sn-mismatch	𐤏𐤔𐤄𐤀𐤋	𐤀𐤋	𐤀𐤋	
H4965	sn-mismatch	𐤌𐤕𐤂𐤄𐤀𐤌𐤄	𐤀𐤌𐤄	𐤀𐤌𐤄	
H3613	sn-mismatch	𐤊𐤋𐤁𐤀𐤐𐤓𐤕𐤄	𐤀𐤐𐤓𐤕𐤄	𐤀𐤐𐤓𐤕𐤄	
H5371	sn-mismatch	𐤍𐤓𐤂𐤋𐤔𐤓𐤀𐤑𐤓	𐤀𐤑𐤓	𐤀𐤑𐤓	
H8272	sn-mismatch	𐤔𐤓𐤀𐤑𐤓	𐤀𐤑𐤓	𐤀𐤑𐤓	
H1009	sn-mismatch	𐤁𐤉𐤕𐤀𐤓𐤁𐤀𐤋	𐤀𐤓𐤁𐤀𐤋	𐤀𐤓𐤁𐤀𐤋	
H7153	sn-mismatch	𐤒𐤓𐤉𐤕𐤀𐤓𐤁𐤏	𐤀𐤓𐤁𐤏	𐤀𐤓𐤁𐤏	
H3296	sn-mismatch	𐤉𐤏𐤓𐤉𐤀𐤓𐤂𐤉𐤌	𐤀𐤓𐤂𐤉𐤌	𐤀𐤓𐤂𐤉𐤌	
H6307	sn-mismatch	𐤐𐤃𐤍	𐤀𐤓𐤌	𐤀𐤓𐤌	
H870	ok-additive	𐤀𐤕𐤓	𐤁𐤀𐤕𐤓	𐤁𐤀𐤕𐤓	
H2657	sn-mismatch	𐤇𐤐𐤑𐤉𐤁𐤄	𐤁𐤄	𐤁𐤄	
H8370	sn-mismatch	𐤔𐤕𐤓𐤁𐤅𐤆𐤍𐤉	𐤁𐤅𐤆𐤍𐤉	𐤁𐤅𐤆𐤍𐤉	
H3565	sn-mismatch	𐤊𐤅𐤓𐤏𐤔𐤍	𐤁𐤅𐤓	𐤁𐤅𐤓	
H4122	sn-mismatch	𐤌𐤄𐤓𐤔𐤋𐤋𐤇𐤔𐤁𐤆	𐤁𐤆	𐤁𐤆	
H137	sn-mismatch	𐤀𐤃𐤍𐤉𐤁𐤆𐤒	𐤁𐤆𐤒	𐤁𐤆𐤒	
H358	sn-mismatch	𐤀𐤉𐤋𐤅𐤍𐤁𐤉𐤕𐤇𐤍𐤍	𐤁𐤉𐤕	𐤁𐤉𐤕	
H5854	sn-mismatch	𐤏𐤈𐤓𐤅𐤕𐤁𐤉𐤕𐤉𐤅𐤀𐤁	𐤁𐤉𐤕	𐤁𐤉𐤕	
H62	sn-mismatch	𐤀𐤁𐤋𐤁𐤉𐤕𐤌𐤏𐤊𐤄	𐤁𐤉𐤕	𐤁𐤉𐤕	
H439	sn-mismatch	𐤀𐤋𐤅𐤍𐤁𐤊𐤅𐤕	𐤁𐤊𐤅𐤕	𐤁𐤊𐤅𐤕	
H4757	sn-mismatch	𐤌𐤓𐤀𐤃𐤊𐤁𐤋𐤀𐤃𐤍	𐤁𐤋𐤀𐤃𐤍	𐤁𐤋𐤀𐤃𐤍	
H3430	sn-mismatch	𐤉𐤔𐤁𐤅𐤁𐤍𐤁	𐤁𐤍𐤁	𐤁𐤍𐤁	
H5524	sn-mismatch	𐤎𐤊𐤅𐤕𐤁𐤍𐤅𐤕	𐤁𐤍𐤅𐤕	𐤁𐤍𐤅𐤕	
H1485	sn-mismatch	𐤂𐤅𐤓𐤁𐤏𐤋	𐤁𐤏𐤋	𐤁𐤏𐤋	
H4807	sn-mismatch	𐤌𐤓𐤉𐤁𐤁𐤏𐤋	𐤁𐤏𐤋	𐤁𐤏𐤋	
H4810	sn-mismatch	𐤌𐤓𐤉𐤁𐤏𐤋	𐤁𐤏𐤋	𐤁𐤏𐤋	
H7154	sn-mismatch	𐤒𐤓𐤉𐤕𐤁𐤏𐤋	𐤁𐤏𐤋	𐤁𐤏𐤋	
H6947	sn-mismatch	𐤒𐤃𐤔𐤁𐤓𐤍𐤏	𐤁𐤓𐤍𐤏	𐤁𐤓𐤍𐤏	
H3429	sn-mismatch	𐤉𐤔𐤁𐤁𐤔𐤁𐤕	𐤁𐤔𐤁𐤕	𐤁𐤔𐤁𐤕	
H378	sn-mismatch	𐤀𐤉𐤔𐤁𐤔𐤕	𐤁𐤔𐤕	𐤁𐤔𐤕	
H4648	sn-mismatch	𐤌𐤐𐤉𐤁𐤔𐤕	𐤁𐤔𐤕	𐤁𐤔𐤕	
H1127	sn-mismatch	𐤁𐤍𐤂𐤁𐤓	𐤂𐤁𐤓	𐤂𐤁𐤓	
H6100	sn-mismatch	𐤏𐤑𐤉𐤅𐤍𐤂𐤁𐤓	𐤂𐤁𐤓	𐤂𐤁𐤓	
H1171	sn-mismatch	𐤁𐤏𐤋𐤂𐤃	𐤍𐤂𐤃	𐤂𐤃	
H4028	sn-mismatch	𐤌𐤂𐤃𐤋𐤂𐤃	𐤍𐤂𐤃	𐤂𐤃	
H2693	sn-mismatch	𐤇𐤑𐤓𐤂𐤃𐤄	𐤂𐤃𐤄	𐤂𐤃𐤄	
H5872	sn-mismatch	𐤏𐤉𐤍𐤂𐤃𐤉	𐤂𐤃𐤉	𐤂𐤃𐤉	
H1013	sn-mismatch	𐤁𐤉𐤕𐤂𐤃𐤓	𐤂𐤃𐤓	𐤂𐤃𐤓	
H1996	sn-mismatch	𐤄𐤌𐤅𐤍𐤂𐤅𐤂	𐤂𐤅𐤂	𐤂𐤅𐤂	
H1014	sn-mismatch	𐤁𐤉𐤕𐤂𐤌𐤅𐤋	𐤂𐤌𐤅𐤋	𐤂𐤌𐤅𐤋	
H5873	sn-mismatch	𐤏𐤉𐤍𐤂𐤍𐤉𐤌	𐤂𐤍𐤉𐤌	𐤂𐤍𐤉𐤌	
H4182	sn-mismatch	𐤌𐤅𐤓𐤔𐤕𐤂𐤕	𐤂𐤕	𐤂𐤕	
H2576	sn-mismatch	𐤇𐤌𐤕𐤃𐤀𐤓	𐤃𐤀𐤓	𐤃𐤀𐤓	
H5874	sn-mismatch	𐤏𐤉𐤍𐤃𐤀𐤓	𐤃𐤀𐤓	𐤃𐤀𐤓	
H1015	sn-mismatch	𐤁𐤉𐤕𐤃𐤁𐤋𐤕𐤉𐤌	𐤃𐤁𐤋𐤕𐤉𐤌	𐤃𐤁𐤋𐤕𐤉𐤌	
H5963	sn-mismatch	𐤏𐤋𐤌𐤍𐤃𐤁𐤋𐤕𐤉𐤌𐤄	𐤃𐤁𐤋𐤕𐤉𐤌	𐤃𐤁𐤋𐤕𐤉𐤌	
H1016	sn-mismatch	𐤁𐤉𐤕𐤃𐤂𐤅𐤍	𐤃𐤂𐤅𐤍	𐤃𐤂𐤅𐤍	
H1016	sn-mismatch	𐤁𐤉𐤕𐤃𐤂𐤅𐤍	𐤃𐤂𐤍	𐤃𐤂𐤍	
H5874	sn-mismatch	𐤏𐤉𐤍𐤃𐤀𐤓	𐤃𐤅𐤓	𐤃𐤅𐤓	
H658	sn-mismatch	𐤀𐤐𐤎𐤃𐤌𐤉𐤌	𐤃𐤌𐤉𐤌	𐤃𐤌𐤉𐤌	
H4265	sn-mismatch	𐤌𐤇𐤍𐤄𐤃𐤍	𐤃𐤅𐤍	𐤃𐤍	
H5874	sn-mismatch	𐤏𐤉𐤍𐤃𐤀𐤓	𐤃𐤓	𐤃𐤓	
H329	ok-additive	𐤀𐤈𐤃	𐤄𐤀𐤈𐤃	𐤄𐤀𐤈𐤃	
H1017	sn-mismatch	𐤁𐤉𐤕𐤄𐤀𐤋𐤉	𐤄𐤀𐤋𐤉	𐤄𐤀𐤋𐤉	
H1018	sn-mismatch	𐤁𐤉𐤕𐤄𐤀𐤑𐤋	𐤄𐤀𐤑𐤋	𐤄𐤀𐤑𐤋	
H7153	sn-mismatch	𐤒𐤓𐤉𐤕𐤀𐤓𐤁𐤏	𐤄𐤀𐤓𐤁𐤏	𐤄𐤀𐤓𐤁𐤏	
H6367	sn-mismatch	𐤐𐤉𐤄𐤇𐤉𐤓𐤕	𐤄𐤇𐤉𐤓𐤕	𐤄𐤇𐤉𐤓𐤕	
H7157	sn-mismatch	𐤒𐤓𐤉𐤕𐤉𐤏𐤓𐤉𐤌	𐤄𐤉𐤏𐤓𐤉𐤌	𐤄𐤉𐤏𐤓𐤉𐤌	
H4313	sn-mismatch	𐤌𐤉𐤄𐤉𐤓𐤒𐤅𐤍	𐤄𐤉𐤓𐤒𐤅𐤍	𐤄𐤉𐤓𐤒𐤅𐤍	
H1020	sn-mismatch	𐤁𐤉𐤕𐤄𐤉𐤔𐤉𐤌𐤅𐤕	𐤄𐤉𐤔𐤉𐤌𐤕	𐤄𐤉𐤔𐤉𐤌𐤕	
H1020	sn-mismatch	𐤁𐤉𐤕𐤄𐤉𐤔𐤉𐤌𐤅𐤕	𐤄𐤉𐤔𐤌𐤅𐤕	𐤄𐤉𐤔𐤌𐤅𐤕	
H1020	sn-mismatch	𐤁𐤉𐤕𐤄𐤉𐤔𐤉𐤌𐤅𐤕	𐤄𐤉𐤔𐤌𐤕	𐤄𐤉𐤔𐤌𐤕	
H1021	sn-mismatch	𐤁𐤉𐤕𐤄𐤊𐤓𐤌	𐤄𐤊𐤓𐤌	𐤄𐤊𐤓𐤌	
H1022	sn-mismatch	𐤁𐤉𐤕𐤄𐤋𐤇𐤌𐤉	𐤄𐤋𐤇𐤌𐤉	𐤄𐤋𐤇𐤌𐤉	
H1174	sn-mismatch	𐤁𐤏𐤋𐤄𐤌𐤅𐤍	𐤄𐤌𐤅𐤍	𐤄𐤌𐤅𐤍	
H5555	sn-mismatch	𐤎𐤋𐤏𐤄𐤌𐤇𐤋𐤒𐤅𐤕	𐤄𐤌𐤇𐤋𐤒𐤅𐤕	𐤄𐤌𐤇𐤋𐤒𐤅𐤕	
H1038	sn-mismatch	𐤁𐤉𐤕𐤌𐤏𐤊𐤄	𐤄𐤌𐤏𐤊𐤄	𐤄𐤌𐤏𐤊𐤄	
H1024	sn-mismatch	𐤁𐤉𐤕𐤄𐤌𐤓𐤊𐤁𐤅𐤕	𐤄𐤌𐤓𐤊𐤁𐤅𐤕	𐤄𐤌𐤓𐤊𐤁𐤅𐤕	
H5863	sn-mismatch	𐤏𐤉𐤉𐤄𐤏𐤁𐤓𐤉𐤌	𐤄𐤏𐤁𐤓𐤉𐤌	𐤄𐤏𐤁𐤓𐤉𐤌	
H72	sn-mismatch	𐤀𐤁𐤍𐤄𐤏𐤆𐤓	𐤄𐤏𐤆𐤓	𐤄𐤏𐤆𐤓	
H33	sn-mismatch	𐤀𐤁𐤉𐤄𐤏𐤆𐤓𐤉	𐤄𐤏𐤆𐤓𐤉	𐤄𐤏𐤆𐤓𐤉	
