ref	english_word	web_strongs	web_translit	oshb_strongs_in_that_verse
1:2:21	on	H121	Adam	H9000 H5307 H3068 H430 H8639 H5921 H9009 H120 H3462 H3947 H259 H9006 H6763 H5462 H1320 H8478
1:3:11	God	H430	Alahayam	H9000 H559 H4310 H5046 H9005 H3588 H5903 H859 H4480 H9009 H6086 H834 H6680 H1115 H398
1:4:10	Yahweh	H3068	Yahawah	H9000 H559 H4100 H6213 H6963 H1818 H251 H6817 H413 H4480 H9009 H127
1:6:4	men	H582	Anawash	H9009 H5303 H1961 H9003 H776 H3117 H1992 H9000 H1571 H310 H3651 H834 H935 H1121 H430 H413 H1323 H120 H3205 H9005 H1368 H9006 H5769 H376 H8034
1:9:19	three	H2490	Chalal	H7969 H428 H1121 H5146 H9000 H9006 H5310 H3605 H9009 H776
1:9:19	sons	H376	Ayash	H7969 H428 H1121 H5146 H9000 H9006 H5310 H3605 H9009 H776
1:11:12	lived	H2425	Chayay	H9000 H775 H2421 H2568 H7970 H8141 H3205 H853 H7974
1:11:14	lived	H2425	Chayay	H9000 H7974 H2421 H7970 H8141 H3205 H853 H5677
1:12:20	men	H582	Anawash	H9000 H6680 H5921 H6547 H376 H7971 H853 H802 H3605 H834 H9005
1:13:13	men	H582	Anawash	H9000 H376 H5467 H7451 H2400 H9005 H3068 H3966
1:14:5	Shaveh	H7741	Shawahaqarayathayam	H9000 H9003 H702 H6240 H8141 H935 H3540 H9009 H4428 H834 H854 H5221 H853 H7497 H6255 H2104 H1990 H368 H7740 H7156
1:14:6	Mount	H2042	Harar	H9000 H853 H9009 H2752 H9003 H2022 H8165 H5704 H364 H834 H5921 H4057
1:14:24	men	H582	Anawash	H1107 H7535 H834 H398 H9009 H5288 H9000 H2506 H376 H1980 H854 H6063 H812 H4471 H1992 H3947
1:14:24	men	H582	Anawash	H1107 H7535 H834 H398 H9009 H5288 H9000 H2506 H376 H1980 H854 H6063 H812 H4471 H1992 H3947
1:15:2	Yahweh	H3068	Yahawah	H9000 H559 H87 H136 H3069 H4100 H5414 H9005 H595 H1980 H6185 H1121 H4943 H1004 H1931 H1834 H461
1:15:5	Yahweh	H3068	Yahawah	H9000 H3318 H853 H9009 H2351 H559 H5027 H4994 H8064 H5608 H3556 H518 H3201 H9005 H3541 H1961 H2233
1:15:8	Yahweh	H3068	Yahawah	H9000 H559 H136 H3069 H9003 H4100 H3045 H3588 H3423
1:17:23	men	H582	Anawash	H9000 H3947 H85 H853 H3458 H1121 H3605 H3211 H1004 H4736 H3701 H2145 H9003 H376 H4135 H1320 H6190 H6106 H9009 H3117 H2088 H9004 H834 H1696 H854 H430
1:17:27	men	H582	Anawash	H9000 H3605 H376 H1004 H3211 H4736 H3701 H9006 H854 H1121 H5236 H4135
1:18:2	men	H582	Anawash	H9000 H5375 H5869 H7200 H2009 H7969 H376 H5324 H5921 H7323 H9005 H7125 H9006 H6607 H9009 H168 H7812 H776
1:18:3	lord	H136	Adanay	H9000 H559 H113 H518 H4994 H4672 H2580 H9003 H5869 H408 H5674 H9006 H5921 H5650
1:18:16	men	H582	Anawash	H9000 H6965 H9006 H8033 H9009 H376 H8259 H5921 H6440 H5467 H85 H1980 H5973 H9005 H7971
1:18:22	men	H582	Anawash	H9000 H6437 H9006 H8033 H9009 H376 H3212 H5467 H85 H5750 H5975 H9005 H6440 H3068
1:19:4	men	H582	Anawash	H2962 H7901 H9000 H376 H9009 H5892 H5467 H5437 H5921 H1004 H9006 H5288 H5704 H2205 H3605 H5971 H7097
